Employee,Monthly Income (£),Electricity Bill (£),Gas Bill (£),Netflix (£),Amazon Prime (£),Groceries (£),Transportation (£),Water Bill (£),Sky Sports (£),Other Expenses (£),Savings for Property (£),Monthly Outing (£)
Employee_1,4999.39,120.0,80.0,12.0,4.99,239.69,149.11,40.0,70.0,100.0,300.0,120.0
Employee_2,4660.24,120.0,80.0,12.0,4.99,226.24,197.23,40.0,70.0,100.0,300.0,120.0
Employee_3,1942.89,124.67945555749824,98.1345996256582,12.0,4.99,333.77745049969144,201.2795599771852,40.0,70.0,125.77069266979126,0.0,120.0
Employee_4,3565.8,120.0,80.0,12.0,4.99,213.04,154.67,40.0,0.0,100.0,300.0,120.0
Employee_5,5121.99,120.0,80.0,12.0,4.99,182.56,190.71,40.0,70.0,100.0,300.0,0.0
Employee_6,4182.71,120.0,80.0,12.0,4.99,284.84,80.91,40.0,70.0,100.0,300.0,120.0
Employee_7,5924.83,120.0,80.0,12.0,4.99,212.75,98.58,40.0,70.0,0.0,0.0,0.0
Employee_8,3714.05,120.0,80.0,12.0,4.99,291.74,165.22,40.0,0.0,0.0,0.0,0.0
Employee_9,3096.13,120.0,80.0,12.0,4.99,168.07,171.32,40.0,70.0,100.0,300.0,120.0
Employee_10,3330.21,120.0,80.0,12.0,4.99,199.87,104.44,40.0,0.0,100.0,0.0,0.0
Employee_11,2403.29,120.0,80.0,12.0,4.99,239.68,63.73,40.0,70.0,0.0,300.0,120.0
Employee_12,1270.58,112.42585077413833,78.41938996497784,12.0,4.99,292.7911395669948,123.3896540424436,40.0,70.0,159.18057202431464,0.0,0.0
Employee_13,4595.8,120.0,80.0,12.0,4.99,233.86,98.17,40.0,0.0,100.0,300.0,0.0
Employee_14,3932.56,120.0,80.0,12.0,4.99,212.72,73.31,40.0,0.0,0.0,300.0,120.0
Employee_15,1046.21,142.6921530578327,99.38691019260403,12.0,4.99,342.76295076624604,152.3902470809132,40.0,0.0,164.79144873564786,0.0,120.0
Employee_16,1950.87,117.019899228722,76.6582977235593,12.0,4.99,221.8917010987663,244.82990553567012,40.0,70.0,180.63167440582964,300.0,120.0
Employee_17,4101.76,120.0,80.0,12.0,4.99,168.18,197.62,40.0,0.0,100.0,300.0,0.0
Employee_18,2452.36,120.0,80.0,12.0,4.99,297.94,54.0,40.0,70.0,0.0,0.0,120.0
Employee_19,1891.08,139.01137377436424,84.90581469745588,12.0,4.99,292.5661880321946,151.8603978762644,40.0,0.0,119.76712124843196,300.0,120.0
Employee_20,5174.74,120.0,80.0,12.0,4.99,193.89,74.59,40.0,70.0,100.0,0.0,0.0
Employee_21,4320.49,120.0,80.0,12.0,4.99,267.14,69.56,40.0,0.0,100.0,300.0,120.0
Employee_22,4976.72,120.0,80.0,12.0,4.99,230.58,167.07,40.0,0.0,100.0,300.0,120.0
Employee_23,3241.67,120.0,80.0,12.0,4.99,177.59,80.59,40.0,70.0,0.0,0.0,0.0
Employee_24,4814.25,120.0,80.0,12.0,4.99,244.68,142.25,40.0,0.0,100.0,300.0,0.0
Employee_25,3832.1,120.0,80.0,12.0,4.99,285.3,168.31,40.0,0.0,100.0,0.0,120.0
Employee_26,2412.94,120.0,80.0,12.0,4.99,260.11,52.79,40.0,0.0,100.0,300.0,0.0
Employee_27,1658.82,112.53158383923342,82.32537628072977,12.0,4.99,328.8527414417876,102.99664117885628,40.0,0.0,142.55328500424747,0.0,0.0
Employee_28,3536.46,120.0,80.0,12.0,4.99,205.79,63.16,40.0,0.0,0.0,300.0,120.0
Employee_29,3526.21,120.0,80.0,12.0,4.99,223.29,175.53,40.0,70.0,100.0,300.0,120.0
Employee_30,3616.62,120.0,80.0,12.0,4.99,218.23,145.86,40.0,70.0,100.0,0.0,0.0
Employee_31,1806.25,135.1954686051855,76.60821768065219,12.0,4.99,214.98150084324743,229.8828510026832,40.0,0.0,188.40817529294685,0.0,120.0
Employee_32,4892.26,120.0,80.0,12.0,4.99,222.4,187.93,40.0,70.0,100.0,300.0,0.0
Employee_33,4191.94,120.0,80.0,12.0,4.99,215.77,77.12,40.0,70.0,0.0,300.0,120.0
